cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,snow_bin_0_0_to_0_5,snow_bin_gt_0_5_to_1_0,snow_bin_gt_1_0_to_1_5,snow_bin_gt_1_5_to_2_0,snow_bin_gt_2_0_to_2_5,snow_bin_gt_2_5_to_3_0,snow_bin_gt_3_0_to_3_5,snow_bin_gt_3_5_to_4_0,snow_bin_gt_4_0_to_4_5,snow_bin_gt_4_5,phaeo_bin_0_0_to_0_5,phaeo_bin_gt_0_5_to_1_0,phaeo_bin_gt_1_0_to_1_5,phaeo_bin_gt_1_5_to_2_0,phaeo_bin_gt_2_0_to_2_5,phaeo_bin_gt_2_5_to_3_0,phaeo_bin_gt_3_0_to_3_5,phaeo_bin_gt_3_5_to_4_0,phaeo_bin_gt_4_0_to_4_5,phaeo_bin_gt_4_5
IVARS 1-1,G,G,2,-76.987,171.935,135.46,2001-12-20,,,1.68,0.45,0.56,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,136.84,2001-12-20,,,3.24,0.34,2.01,0.56,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,137.79,2001-12-20,,,1.56,0.11,1.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,139.17,2001-12-20,,,0.89,0.0,0.45,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,140.7,2001-12-20,,,0.89,0.0,0.56,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,141.96,2001-12-20,,,0.89,0.22,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,143.23,2001-12-20,,,1.12,0.0,0.78,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,144.46,2001-12-20,,,1.12,0.11,0.22,0.22,0.56,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,145.74,2001-12-20,,,1.23,0.45,0.45,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,147.07,2001-12-20,,,0.89,0.34,0.45,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,148.5,2001-12-20,,,2.35,0.45,1.23,0.45,0.0,0.11,0.0,0.11,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,149.63,2001-12-20,,,1.01,0.11,0.45,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,152.24,2001-12-20,,,0.89,0.34,0.34,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,158.27,2001-12-20,,,0.78,0.22,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,165.73,2001-12-20,,,1.23,0.11,0.56,0.22,0.22,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,174.08,2001-12-20,,,2.79,0.67,1.56,0.22,0.22,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,182.2,2001-12-20,,,1.79,0.56,1.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,191.06,2001-12-20,,,1.34,0.22,0.89,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,199.42,2001-12-20,,,0.45,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,208.47,2001-12-20,,,1.23,0.34,0.56,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.29,2001-12-20,,,5.14,0.89,2.9,1.23,0.0,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.05,2001-12-20,,,2.57,1.01,1.23,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.23,2001-12-20,,,2.01,0.11,1.68,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,1.68,0.56,0.67,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.22,2001-12-20,,,2.46,0.22,1.34,0.67,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.2,2001-12-20,,,0.67,0.0,0.34,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.12,2001-12-20,,,2.12,0.78,0.78,0.34,0.0,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.93,2001-12-20,,,2.01,0.22,1.34,0.22,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,2.68,0.45,1.68,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,1.9,0.56,0.89,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.31,2001-12-20,,,4.69,0.78,3.35,0.45,0.0,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.84,2001-12-20,,,2.57,0.56,1.34,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.92,2001-12-20,,,1.9,0.34,1.01,0.22,0.22,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.13,2001-12-20,,,2.23,0.45,1.34,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.28,2001-12-20,,,1.9,0.34,1.12,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,,,,,,,,,
