* Sea-Bird SBE 25 Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C,\Users\Install\data\SAV-16-40\cast-04.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Dec 07 2016 10,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 21.2316 N,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 20.7145 W,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Dec 07 2016 22,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.35386,-80.34526,36.027,21.2453,0.2222,1.227,5.047071,50.47071,5.05E+04,1025.214,25.2087,25.2087,29.4554,33.609,-0.073,0.8356,0.1792,0.1331,2.0708,1.779,2.3651,4.89E+00,73.243,11.576,0,0,-0.02,0.00E+00
31.35386,-80.34526,36.0507,21.2445,0.21,1.227,5.049947,50.499474,5.05E+04,1025.2323,25.227,25.2269,29.4735,33.627,-0.065,0.7673,0.1833,0.1319,2.072,1.7753,2.3675,4.86E+00,72.491,11.5744,0,0,0.03,0.00E+00
31.35386,-80.34526,36.0644,21.2437,0.2149,1.227,5.05157,50.515699,5.05E+04,1025.243,25.2377,25.2376,29.4841,33.6375,-0.065,0.7946,0.1875,0.1331,2.072,1.7717,2.3272,5.49E+00,71.728,11.57355,0,0,1.24E-08,0.00E+00
31.35386,-80.34526,36.0665,21.2437,0.2063,1.166,5.051833,50.518328,5.05E+04,1025.2443,25.2393,25.2392,29.4857,33.6391,-0.073,0.7468,0.1917,0.1319,2.0525,1.7692,2.3468,5.17E+00,71.077,11.57339,0,0,-0.03,0.00E+00
31.35386,-80.34526,36.0622,21.244,0.2039,1.166,5.05133,50.513295,5.05E+04,1025.241,25.2359,25.2359,29.4824,33.6358,-0.069,0.7331,0.1958,0.1331,2.0904,1.7692,2.293,6.08E+00,70.757,11.57365,0,0,0.02,0.00E+00
31.35386,-80.34526,36.0539,21.244,0.2002,1.166,5.050285,50.502854,5.05E+04,1025.2346,25.2295,25.2295,29.476,33.6295,-0.073,0.7126,0.2,0.1331,2.0904,1.7717,2.3236,5.55E+00,70.805,11.57426,0,0,-0.02,0.00E+00
31.35386,-80.34526,36.048,21.2441,0.21,1.166,5.049557,50.495568,5.05E+04,1025.2301,25.225,25.225,29.4716,33.6251,-0.069,0.7673,0.2042,0.1331,2.0904,1.7741,2.3077,5.82E+00,71.029,11.57469,0,0,0.02,0.00E+00
31.35386,-80.34526,36.0344,21.2442,0.2234,1.166,5.047882,50.47882,5.05E+04,1025.2197,25.2147,25.2146,29.4613,33.6149,-0.057,0.8425,0.2083,0.1331,2.0916,1.7729,2.3028,5.91E+00,71.116,11.57566,0,0,0.05,0.00E+00
31.35386,-80.34526,36.0402,21.244,0.2308,1.166,5.04858,50.485805,5.05E+04,1025.2242,25.2191,25.2191,29.4657,33.6193,-0.037,0.8835,0.2125,0.1319,2.0952,1.7717,2.3309,5.43E+00,71.203,11.57527,0,0,0.08,0.00E+00
31.35386,-80.34526,36.0517,21.2439,0.2186,1.227,5.050008,50.500075,5.05E+04,1025.2332,25.2279,25.2278,29.4744,33.6279,-0.012,0.8151,0.2167,0.1331,2.0952,1.7692,2.2991,5.97E+00,71.144,11.57444,0,0,0.1,0.00E+00
31.35386,-80.34526,36.0554,21.2438,0.2234,1.227,5.050458,50.504582,5.05E+04,1025.2361,25.2308,25.2308,29.4773,33.6308,0.012,0.8425,0.2208,0.1319,2.0952,1.7668,2.3028,5.91E+00,71.003,11.5742,0,0,0.1,0.00E+00
31.35386,-80.34526,36.0535,21.2438,0.2186,1.287,5.050225,50.502254,5.05E+04,1025.2349,25.2293,25.2292,29.4758,33.6293,0.053,0.8151,0.225,0.1331,2.0952,1.7656,2.3919,4.51E+00,70.863,11.57433,0,0,0.16,0.00E+00
31.35386,-80.34526,36.0497,21.244,0.2149,1.287,5.049775,50.497747,5.05E+04,1025.232,25.2264,25.2263,29.4729,33.6264,0.069,0.7946,0.2292,0.1331,2.2772,1.768,2.3272,5.49E+00,70.944,11.57457,0,0,0.06,0.00E+00
31.35386,-80.34526,36.0459,21.2434,0.2222,1.348,5.049234,50.49234,5.05E+04,1025.2295,25.2236,25.2236,29.4702,33.6237,0.093,0.8356,0.2333,0.1319,2.2772,1.7705,2.3455,5.19E+00,71.075,11.57496,0,0,0.1,0.00E+00
31.35386,-80.34526,36.0432,21.2431,0.2308,1.348,5.048873,50.488735,5.05E+04,1025.2275,25.2217,25.2216,29.4682,33.6218,0.106,0.8835,0.2375,0.1319,2.2772,1.7741,2.348,5.15E+00,71.39,11.57521,0,0,0.05,0.00E+00
31.35386,-80.34526,36.0404,21.2441,0.2198,1.408,5.048633,50.486332,5.05E+04,1025.2254,25.2193,25.2192,29.4659,33.6194,0.122,0.822,0.2417,0.1331,2.2772,1.7766,2.3333,5.39E+00,71.726,11.57523,0,0,0.06,0.00E+00
31.35386,-80.34526,36.0382,21.2447,0.2173,1.408,5.048415,50.484154,5.05E+04,1025.2235,25.2174,25.2174,29.464,33.6176,0.122,0.8083,0.2458,0.1319,2.0769,1.7766,2.3443,5.21E+00,71.886,11.57529,0,0,6.19E-08,0.00E+00
31.35386,-80.34526,36.0385,21.2442,0.2137,1.348,5.0484,50.484003,5.05E+04,1025.2236,25.2178,25.2177,29.4644,33.6179,0.089,0.7878,0.25,0.1331,1.9438,1.7766,2.3687,4.84E+00,72.002,11.57535,0,0,-0.13,0.00E+00
31.35386,-80.34526,36.0394,21.2439,0.254,1.408,5.04849,50.484905,5.05E+04,1025.2247,25.2186,25.2185,29.4652,33.6188,0.081,1.0134,0.2542,0.1343,1.9426,1.7753,2.3162,5.67E+00,71.951,11.57534,0,0,-0.03,0.00E+00
31.35386,-80.34526,36.0426,21.2447,0.2283,1.348,5.048964,50.489636,5.05E+04,1025.2267,25.2208,25.2208,29.4674,33.6209,0.045,0.8698,0.2583,0.1331,1.9426,1.7741,2.3675,4.86E+00,71.794,11.57497,0,0,-0.15,0.00E+00
31.35386,-80.34526,36.0473,21.2455,0.2112,1.348,5.049625,50.496245,5.05E+04,1025.23,25.2241,25.2241,29.4707,33.6242,0.02,0.7741,0.2625,0.1319,1.9353,1.7741,2.3419,5.25E+00,71.644,11.57448,0,0,-0.1,0.00E+00
31.35386,-80.34526,36.0489,21.2461,0.2125,1.287,5.049902,50.499024,5.05E+04,1025.2308,25.2252,25.2252,29.4717,33.6252,-0.024,0.7809,0.2667,0.1331,1.928,1.7741,2.3541,5.06E+00,71.511,11.57423,0,0,-0.18,0.00E+00
31.35386,-80.34526,36.0464,21.2453,0.2088,1.287,5.049497,50.494968,5.05E+04,1025.2291,25.2235,25.2235,29.4701,33.6236,-0.049,0.7604,0.2708,0.1319,1.928,1.7729,2.3455,5.19E+00,71.316,11.57458,0,0,-0.1,0.00E+00
31.35386,-80.34526,36.0415,21.2446,0.2002,1.227,5.048813,50.488133,5.05E+04,1025.2253,25.22,25.2199,29.4665,33.6201,-0.085,0.7126,0.275,0.1319,1.928,1.7729,2.3065,5.84E+00,71.26,11.57506,0,0,-0.15,0.00E+00
31.35386,-80.34526,36.0417,21.2445,0.2027,1.227,5.048828,50.488283,5.05E+04,1025.2255,25.2202,25.2201,29.4667,33.6203,-0.093,0.7262,0.2792,0.1331,1.928,1.7729,2.3223,5.57E+00,71.266,11.57506,0,0,-0.03,0.00E+00
31.35386,-80.34526,36.0381,21.2445,0.2063,1.227,5.04837,50.483702,5.05E+04,1025.2227,25.2174,25.2173,29.464,33.6176,-0.089,0.7468,0.2833,0.1319,1.9658,1.7717,2.3394,5.29E+00,71.198,11.57534,0,0,0.02,0.00E+00
31.35386,-80.34526,36.0447,21.244,0.2063,1.227,5.049151,50.491513,5.05E+04,1025.2279,25.2226,25.2225,29.4692,33.6227,-0.093,0.7468,0.2875,0.1331,1.967,1.7705,2.3211,5.59E+00,71.13,11.57493,0,0,-0.02,0.00E+00
31.35386,-80.34526,36.0379,21.2432,0.2515,1.227,5.048213,50.482125,5.05E+04,1025.2229,25.2176,25.2175,29.4642,33.6178,-0.069,0.9997,0.2917,0.1331,1.967,1.768,2.2979,5.99E+00,70.949,11.57559,0,0,0.1,0.00E+00
31.35386,-80.34526,36.0114,21.2428,0.2711,1.227,5.044871,50.448711,5.04E+04,1025.2029,25.1976,25.1975,29.4444,33.5981,-0.053,1.1091,0.2958,0.1331,1.9658,1.7656,2.3175,5.65E+00,70.73,11.57761,0,0,0.06,0.00E+00
31.35386,-80.34526,35.9765,21.2428,0.2344,1.287,5.040525,50.405248,5.04E+04,1025.1766,25.171,25.1709,29.418,33.572,-0.012,0.904,0.3,0.1331,1.9426,1.7607,2.315,5.69E+00,70.325,11.58018,0,0,0.16,0.00E+00
31.35386,-80.34526,35.9405,21.2428,0.2234,1.287,5.036038,50.360376,5.04E+04,1025.1491,25.1436,25.1435,29.3908,33.545,0.012,0.8425,0.3042,0.1331,1.9731,1.7607,2.3321,5.41E+00,70.253,11.58282,0,0,0.1,0.00E+00
