cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,27.99,2004-12-24,05:10:00,2004-12-23T16:10Z,2.58,0.0,0.0,0.0,0.0,1.47,0.74,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,63.08,2005-01-30,,,9.96,0.0,0.74,2.58,3.32,1.84,1.11,0.0,0.37,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,64.46,2005-01-30,,,13.64,0.0,0.37,3.32,6.27,1.84,0.74,0.74,0.37,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,66.53,2005-01-30,,,10.69,0.0,1.11,2.95,4.42,0.74,0.74,0.37,0.37,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,68.17,2005-01-30,,,18.44,0.0,0.37,5.53,7.37,3.32,1.84,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,69.81,2005-01-30,,,20.28,0.0,0.37,2.58,5.53,5.53,4.06,1.11,0.74,0.0,0.37
IVARS 4-2,2005-01-30,,Xip,-77.668,180,71.48,2005-01-30,,,19.17,0.0,0.37,4.06,7.01,4.79,2.58,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,73.44,2005-01-30,,,22.86,0.0,1.11,5.16,8.11,2.21,2.95,1.84,1.11,0.37,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,74.76,2005-01-30,,,17.33,0.0,0.0,5.53,4.42,4.79,1.84,0.74,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,76.44,2005-01-30,,,16.22,0.0,0.37,5.53,5.53,1.11,1.11,1.84,0.0,0.37,0.37
